Dog Racing;course de chiens
Cheops (Egyptian pyramids and archeology);Khéops (pyramides égyptiennes et archéologie)
chess master;maître des échecs
chessman;pièce (échecs)
chest of drawers;commode
chesterfield (sofa);Chesterfield (canapé)
cheval glass;psyché
Chianti;chianti
chicken;poulet
chicken wire;grillage à poulet
chief of staff;chef d'équipe
chief petty officer;premier maître
child;enfant
child's room;chambre d'enfant
children;enfants
chime;carillon
china;porcelaine de Chine
chinch bug;punaise
Chinese lantern;lanterne chinoise
chinning bar;barre de traction
chintz fabric;tissu chintz
chisel;ciseau
chlamydospore (spores);chlamydospore (spores)
chlamys (shell);chlamys (coquillage)
choir;chorale
choline;choline
choo-choo train;choo-choo (train)
chordophone (musical instrument);cordophone (instrument de musique)
choreographer;chorégraphe
chronometer (watch);chronomètre (montre)
chuck wagon;chariot bâché
Church (Indoor);église (intérieur)
church bell;cloche d'église
church bench;banc d'église
church tower;clocher de l'église
ciderpress;presse à cidre
cigar band;bague de cigare
cigar box;boîte à cigares
cigar cutter;coupe-cigare
cigar lighter;allume-cigare
cigar smoker;fumeur de cigare
cigarette case;porte-cigarette
cigarette holder;porte-cigarette
ciliate (organism);ciliée (organisme)
circle;cercle
circuit board;circuit imprimé
circuit breaker;disjoncteur
circuitry;circuit
circus acrobat;acrobate de cirque
circus tent;chapiteau de cirque
city;ville
city hall;mairie
city university;université
cityscape;paysage urbain
civil rights activist;militant des droits civiques
clack valve;clapet
clapperboard;clap
clappers;claquettes
clasp knife;couteau de poche
class;classe
class room;salle de cours
classroom;salle de cours
clavichord (string instrument);clavicorde (instrument à cordes)
claw;griffe
clay pigeon;pigeon d'argile
claymore;épée à deux mains
claymore mine;Claymore (mine)
clean room;salle blanche
clean shaven adult male;homme rasé de près
cleaner;nettoyeur
cleaning implement;instrument de nettoyage
cleaning person;personnel de nettoyage
cleat;taquet
cleats;taquets
clerestory (of building);claire-voie ( bâtiment)
clevis (coupler);chape (coupleur)
cliff;falaise
cliff dwelling;habitation troglodyte
climber;grimpeur
climbing frame;mur d'escalade
clipper ship;bateau à voile
cloak;manteau
cloche (hat);cloche (à chapeau)
clock;horloge
clock tower;tour de l'horloge
cloister (courtyard);cloître (cour)
closet;placard
cloth cap;casquette en tissu
clothes dryer;sèche-linge
clothes hamper;panier à linge
clotheshorse;étendoir à linge
clothing;vêtements
clothing store;magasin de vêtements
clutch;embrayage
clutch bag;pochette
coach (carriage);bus
coach horse;cocher
coach house;porche (bâtiment)
coachman;cocher
coal car;wagon à charbon
coal miner;mineur (charbon)
coal seam;gisement de charbon
coalface;mine de charbon
coast;côte
coastland;littoral
coat;manteau
coat hanger;cintre
coat rack;porte-manteau
coat tree;porte-manteau
coating;enrobage
cobbler;crumble
cobweb;araignée
Coca Cola;Coca Cola
cockhorse (toy horse);cheval à bascule (jouet)
cockpit;cockpit
coffee mill;moulin à café
coffee urn;thermos à café
coffer (chest);coffre
coffin;cercueil
cog;dent (engrenage)
coho;saumon argenté
coif;coiffe
coiffeur (hairdresser);coiffeur
coil spring;ressort hélicoïdal
cold chisel;ciseau à froid
cold frame;serre de jardin
college;université
collet;collet de serrage
colliery (pit);houillère
colonnade (columns);colonnade
color guard;porte-étendard
color television;télévision couleur
color television tube;tube de télévision couleur
color wash;lavis
colour supplement;supplément illustré
columbarium;columbarium
column;colonne
comb;peigne
combine (harvester/thresher);moissonneuse-batteuse
comet;comète
comic book;bande-dessinée
command module;module de commande
commander in chief;commandant en chef
commanding officer;commandant
commissioned military officer;officier militaire
commissioned officer;sous-officier
common louse;pou commun
common water snake;serpent d'eau commune
communication system;système de communication
communications satellite;satellite de communication
commuter;navetteur
compact disk;disque-compact
compartment;compartiment
compass;boussole
compressor;compresseur
computer;ordinateur
computer circuit;circuit électronique
computer monitor;moniteur d'ordinateur
computer screen;écran d'ordinateur
computer user;utilisateur d'ordinateur
computerized axial tomography scanner;scanner tomographique informatisé
concave lens;lentille concave
concave polygon;polygone concave
concave shape;forme concave
concert;concert
concert band;orchestre d'harmonie
concert hall;salle de concert
concert piano;piano de concert
concertina (musical instrument);concertina (instrument de musique)
concertina (wire);concertina
concrete;béton
concrete mixer;bétonnière
condensation pump;pompe à condensation
condenser;condenseur
condenser microphone;microphone à condensateur
condor;condor
conductor;conducteur
cone-nosed bug;punaise (triatominae)
confectioner;confiseur
conference center;centre de conférence
conference room;salle de conférence
conference table;table de conférence
confessional;confessionnal
conformation;conformation
connecting rod;bielle
connector wire;fil de connecteur
conservatory;conservatoire
console table;console
constable;gendarme
constrictor  snake;serpent constrictor
Construction Site;chantier de construction
construction vehicle (skidder);débardeur (véhicule)
contact;contact
contact sport;sport de contact
container;récipient
container ship;porte-conteneurs
contestant;compétiteur
contour feather;penne (plume)
control center;centre de contrôle
control panel;panneau de contrôle
control room;salle de contrôle
control tower;tour de contrôle
controller;manette
convector (heater);convecteur (chauffage)
convent;couvent
converging lens;lentilles convergentes
converter;convertisseur
convertible;convertible (canapé)
convertible car;voiture décapotable
convex polygon;polygone convexe
cookie cutter;emporte-pièce
cookie sheet;plaque à biscuits
cookstove;cuisinière
cooler;glacière
cooling system;système de refroidissement
cooling tower;tour de refroidissement
coonskin cap;bonnet de trappeur
coordinate axis;axe de coordonnées
copperware;ustensiles en cuivre
coracle (boat);coracle (embarcation)
corbel (building);corbeau (bâtiment)
core bit;trépan
cork oak;chêne-liège
corker;boucheuse à bouteille
Corn field;champ de maïs
corn whiskey;whisky de maïs
corncrib (house);séchoir à maïs
corner (building);coin (bâtiment)
cornice (building);corniche (bâtiment)
correctional institution;établissement correctionnel
Corridor;couloir
corset;corset
corselet (women's dress);corset
corvine bird;corvine (oiseau)
cosmetic;cosmétique
costume;costume
Cotes de Provence;côtes de Provence
Cotswold sheep;mouton de Cotswold
cotton;coton
cotton grass;herbe à coton
cottonseed;graine de coton
couch;canapé
cougar;puma
cough drop;pastille pour la toux
counter;compteur
country house;maison de campagne
couple;couple
coupling;coupleur
coursing (dog);chien de course
court;tribunal
court game;terrain de jeu
courthouse;tribunal
courtroom;salle d'audience
courtyard;cour
cover plate;plaque de couverture
coverall;combinaison (de travail)
covered bridge;pont couvert
covered couch;canapé
covered wagon;wagon couvert
cow pen;enclos à bétail
cow pony;cheval de travail
cowbell;sonnaille
cowboy hat;chapeau de cowboy
cowshed;étable
coydog;coydog
crab louse;pou du pubis
crackle (china);craquelé (porcelaine)
cradle;berceau
craft;artisanat
crag;rocher escarpé
crane;grue (de chantier)
crane fly;moustique (tipule)
crankshaft;vilebrequin
crate;caisse de transport
crater;cratère
crazy quilt;courtepointe
cream;crème
crease;pli (peau)
Creek;ruisseau
crematory;crématorium
crest;crête
cretonne (fabric);cretonne (tissu)
Crevasse;crevasse
Crew;équipage
cricket;criquet
crinoline (petticoat);crinoline (jupon)
Crookes radiometer;radiomètre de Crookes
Crookes tube;tube de Crookes
croquet;croquet
croquet mallet;maillet de croquet
cross;croix
cross-country skiing;ski de fond
crossbow;arbalète
crosscut saw;scie à tronçonner
crossword puzzle;mots-croisés
crow;corbeau
crowd;foule
crown;couronne
crown jewels;joyaux de la couronne
crown princess;princesse de la couronne
CRT screen;écran cathodique
crucifix;crucifix
cruet (bottle);burette (bouteille)
cruet-stand;salière et poivrière
cruiser;croiseur
crusher;broyeur
crutch;béquille
Cub Scout;scout
cuckoo clock;coucou
cuirass armor;cuirasse
cul de sac;cul de sac
Culex quinquefasciatus mosquito;moustique Culex quinquefasciatus
cultivated land;terre cultivée
cultivator;cultivateur (machine)
culvert;ponceau
cup;tasse
cupboard;placard
cupola (dome roof);coupole (toit en dôme)
curb bit;mors
curbstone;bordure
currycomb;brosse à étriller
curtain;rideau
curved road;route sinueuse
customhouse;bureau de douane
cutaway drawing;dessin en coupe
cutlery;coutellerie
cycle rickshaw;cyclo-pousse
cycling;cyclisme
cyclopean masonry;maçonnerie cyclopéenne
cyclotron;cyclotron
cylinder;cylindre
cylinder lock;serrure à cylindre
cymbal;cymbale
cytomegalovirus;cytomégalovirus
dacha;datcha
dagger;poignard
dairy cattle;vache laitière
dairy farm;ferme laitière
dairy product;produit laitier
dairyman;crémier
dam;barrage
damask fabric;tissu damassé
dance;danse
dancer;danseur
dancing-master;maître de danse
darkroom;chambre noire
darning needle;aiguille à repriser
data system;système de données
davit for ship;bossoir (navire)
day care center;centre de soin de jour
dead axle;essieu à bras oscillants
deanery;doyenné
death camp;camp de concentration
deathwatch beetle;coléoptère (anobide)
decagon;décagone
deck chair;chaise longue
deckle edge (paper making);bord de la feuille (fabrication du papier)
Deep Ocean;océan profond
deep-freeze;congélation
deer;cerf
deer hunting;chasse au cerf
deer tick;tique de cerf
defense system;système de défense aérien
defensive structure;structure défensive
defibrillator;défibrillateur
delft earthenware;faïence de Delft
deli;deli (épicerie)
delicacy;friandise
delivery truck;camion de livraison
deliveryman;livreur
delta;delta
demijohn  bottle;dame-jeanne (bouteille)
Demonstration;manifestation
demonstrator;manifestant
dendrite;dendrite
densely-populated urban area;zone urbaine densément peuplée
dental appliance;appareil dentaire
department store;grand magasin
departure lounge;salle d'embarquement
derrick (crane);derrick (grue)
derringer pistol;pistolet derringer
desert;désert
desert plant;plante du désert
desert road;route de désert
desk;bureau
desk dictionary;dictionnaire de poche
desktop;bureau
destroyer escort;destroyer d'escorte
detached house;maison individuelle
detainee;détenu
device;dispositif
dhoti;dhoti
dhow;boutre
dial;cadran
dialog box;boite de dialogue
diameter;diamètre
diapheromera stick insect;phasme (diapheromera)
dickey (of car);coffre (de voiture)
die;matrice
diesel engine;moteur diesel
diesel-electric locomotive;locomotive diesel-électrique
digital audiotape;cassette audionumérique
digital clock;horloge digitale
digital computer;ordinateur numérique
digital display;affichage numérique
digital voltmeter;voltmètre numérique
dill;aneth
dimmer;variateur
diner;diner (restaurant)
dingo;dingo
dining car;wagon-restaurant
dining room;salle à manger
dining table;table à manger
dining-hall;salle à manger
dining-room furniture;mobilier de salle à manger
dining-room table;table de salle à manger
dinner bell;cloche de dîner
dinner dress;robe de soirée
dinner jacket;smoking
dinner table;table à dinner
diode;diode
dip;baignade
diplodocus (extinct animal);diplodocus
diplomat;diplomate
dipole antenna;antenne dipôle
dipterous insect;insecte diptère
directional antenna;antenne directionnelle
discharge lamp;lampe à décharge
disco;disco
disguise;déguisement
dish;plat
dish rack;égouttoir
dishrag;éponge à vaisselle
dishtowel;torchon
dishwasher;lave-vaisselle
disk;disque
disk clutch;disque d'embrayage
disk harrow;herse à disque
diskette;disquette
dispensary;dispensaire
dispenser;distributeur
display case;vitrine
display window;fenêtre d'affichage
distributor point;bobine d'allumage
ditch;fossé
dive;plongée
dive bomber;bombardier en piqué
divided highway;autoroute à voie centrale
divider;compas
diving suit;combinaison de plongée
dodo;dodo
dog;chien
dogcart;charrette
doghouse;niche à chien
dogsled;traîneau à chiens
doll;poupée
dollhouse;maison de poupées
dolly (wheeled platform);dolly (plate-forme sur roues)
dolmen (portal tomb);dolmen (tombeau)
dolphin;dauphin
dome;dôme
domestic animal;animal domestique
domestic donkey;âne domestique
domestic llama;lama domestique
domestic sheep;mouton domestique
domicile;domicile
donkey;âne
donkey cart;charette à ânes
doodlebug;fourmilion
door;porte
doorbell;sonnette
doorframe;cadre de porte
doormat;paillasson
doorplate;plaque de porte
doorsill;seuil de porte
dormer window;lucarne
dormitory;dortoir
double (look-alike);double (sosie)
double door;double porte
double-breasted suit;costume à double boutonnage
double-hung window;fenêtre à guillotine
double-magnum bottle;jéroboam
doublet jacket;doublet (veste)
dough;pâte
dracaena;dracaena
draft animal;animal de trait
draft horse;cheval de trait
drafting instrument;instrument de dessin
drafting table;table à dessin
draftsman;dessinateur
Dragonboat;bateau-dragon
Dragonboating;bateau-dragon
dragonfly;libellule
drain basket;panier de vidange
drainage ditch;fossé de drainage
drapery;draperie
drawbar;barre d'attelage
drawbridge;pont-levis
drawer;tiroir
drawing chalk;craie de dessin
drawing room;salle de dessin
drawstring bag;sac à cordon
dreadnought ship;cuirassé dreadnought
dredge;drague (bateau)
dredging bucket;godet de dragage
dress;robe
dress hat;chapeau habillé
dress rack;portemanteau
dress uniform;uniforme
dressage (equestrian sport) with horse and rider;dressage (sport équestre)
dressing case;nécessaire de toilette
dressing room;vestiaire
dressing table;mettre la table
dressmaker;couturière
drill;percer
drill press;perceuse
drill rig;appareil de forage
drilling platform;plate-forme de forage
drinking fountain;fontaine d'eau potable
drinking glass;verre à boire
drinking vessel;vase à boire
drive;conduite
driveshaft;arbre de transmission
driveway;allée
drogue parachute;parachute de freinage
drop curtain;rideau
drop hammer;marteau pilon
drosophila fly;mouche drosophile
drugstore;pharmacie
drum;tambour
drum majorette;tambour majorette
drumhead;peau de tambour
drummer;batteur
drumstick;pilon
dry cleaners;nettoyeur à sec
dry dock;cale sèche
dry masonry;maçonnerie sèche
dry wall;mur sec
dryer;séchoir
duck hunting;chasse au canard
duckboard;caillebotis
dude ranch;ranch de tourisme
dugout (pavilion);abri de touche (sport)
dugout canoe;pirogue
dumbbell;haltère
dumpcart;benne à ordures
Dumpster;poubelle
Dumpy level (surveyor's instrument);niveau optique
dun horse;cheval dun
dunce cap;bonnet d'âne
dune buggy;buggy
Durham cattle;shorthorn (bovin)
dust storm;tempête de poussière
Dutch elm fungus;graphiose de l'orme
Dutch oven;faitout hollandais
dwelling;habitation
eagle;aigle
earflap;oreillette
earless seal;phocidé (phoque)
earphone;écouteur
Earrings;boucles d'oreilles
earthenware;faïence
Earthquake;tremblement de terre
earthwork;terrassement
earthworm;ver de terre
earwig insect;insecte auriculaire
easel;chevalet
eau de toilette;eau de toilette
eau de vie;eau de vie
ectoparasite;ectoparasite
eel;anguille
eggbeater;batteur à oeufs
Eiffel Tower;tour Eiffel
ejection seat;siège éjectable
Elamite (persian carvings/artifacts);élamite (sculptures persanes)
elasmobranch (fish);élasmobranque (poisson)
electric battery;pile électrique
electric chair;chaise électrique
electric cord;cordon électrique
electric fan;ventilateur électrique
electric guitar;guitare électrique
electric lamp;lampe électrique
electric meter;compteur électrique
electric motor;moteur électrique
electric refrigerator;réfrigérateur électrique
electric switch;interrupteur
electrical circuit;circuit électrique
electrical connector;connecteur électrique
electrical device;appareil électrique
electrical fuse;fusible électrique
electrical relay;relais électrique
electron microscope;microscope électronique
electronic device;appareil électronique
electronic equipment;équipement électronique
electronic switch;interrupteur électronique
electronic transistor;transistor électronique
electroscope;électroscope
electrostatic generator;générateur électrostatique
elephant;éléphant
elephant seal;éléphant de mer
elephant tree;beaucarnéa (pied d'éléphant)
elevator;ascenseur
Elevator Lobby;hall d'ascenseur
elevator shaft;cage d'ascenseur
ellipse;ellipse
embankment;digue
embassy;ambassade
embryo (egg);embryon (oeuf)
emergency field ration (food);ration d'urgence de campagne (nourriture)
emergency room;urgences
emperor penguin;manchot empereur
empress;impératrice
empty tomb (monument);tombeau vide (monument)
enamel;émail
encaustic paint;peinture encaustique
encephalogrami (x ray);encéphalogramme (rayons x)
enclosure;haie bocagère
endameba (organism);endameba (organisme)
engine;moteur
engine room;salle des machines
enlarger (photographic);agrandisseur (photographique)
ensemble of people;groupe de personnes
ensign;insigne
entablature (classical building);entablement (bâtiment classique)
entertainer;artiste
entrenchment fortification;fortification de retranchement
envelope;enveloppe
eolith (stone artifacts);éolithe (objet en pierre)
eparchy;éparchie
equalizer (audio equipment);égaliseur (équipement audio)
equestrian sport;sport équestre
equilateral;équilatéral
equine (hoofed mammal);équin (mammifère à sabot)
equipment;équipement
erasable programmable read-only memory;mémoire morte programmable effaçable
eraser;gomme
Erlenmeyer flask;flacon Erlenmeyer
ern;pygargue empereur
escapement;échappement
escutcheon shield;écu (héraldique)
establishment;établissement
estaminet (cafe);estaminet (café)
etagere (furniture);étagère (meubles)
etamine (fabric);étamine (tissu)
ethernet cable;câble Ethernet
eucalyptus;eucalyptus
eukaryote (organism);eucaryote (organisme)
euphonium horn;corne d'euphonium
European magpie;pie européenne
eurypterid  (extint creature);euryptéride (arthropode)
evaporative cooler;refroidisseur à évaporation
evening bag;pochette de soiré
eveningwear;vêtements de soirée
ewe;brebis
Excavation;fouilles
exercise bike;vélo d'appartement
exercising weight;poids de musculation
exhaust fan;ventilateur d'extraction
exhaust valve;soupape d'échappement
exhibition hall;salle d'exposition
expansion bolt;boulon d'expansion
experimenter;expérimentateur
Explosion;explosion
explosive device;dispositif explosif
extremum (peak);extremum (pic)
eye mask;masque pour les yeux
eyeglasses;lunettes
eyepatch;cache-oeil
fabric;tissu
facade;façade
face;visage
face mask;masque
factory;usine
factory ship;navire-usine
factory worker;ouvrier
Fahrenheit thermometer;thermomètre Fahrenheit
faience eartherware;faïence
fairground;champ de foire
falconer;fauconnier
fallout shelter;abri antiatomique
false scorpion;pseudoscorpion
family;famille
fan;ventilateur
fan blade;pale de ventilateur
fan tracery;décor de voûte
fan vaulting;voûte en éventail
fanion flag;drapeau fanion
fanlight (semi circular window);fanlight (fenêtre semi-circulaire)
farm building;bâtiment de ferme
farm horse;cheval de ferme
farm machine;machine agricole
farmer;agriculteur
farmhand;ouvrier agricole
farmhouse;ferme
fastener;attache
fat-soluble vitamin;vitamine liposoluble
father;père
fatigues;uniforme militaire
faucet/value;robinet
fauteuil armchair;fauteuil
Fauve painting;peinture fauve
fedora (felt hat);fedora (chapeau de feutre)
feed;alimentation
feedlot building;parc d'engraissement
feline;félin
female;femelle
female child;enfant de sexe féminin
female donkey;âne femelle
fence;clôture
fence rail;rail de clôture
fencing stick;arme d'escrime
fencing sword;épée d'escrime
fern;fougère
Ferris wheel;grande roue
ferrule (metal);virole (métal)
festoon;feston
fez hat;fez (chapeau)
field;champ
field artillery;artillerie de campagne
field hospital;hôpital de campagne
field house;maison de terrain
Field Road;route de campagne
field tent;tente de campagne
fighter aircraft;avions de chasse
fighter pilot;pilote de chasse
figure;silhouette
figure loom;métier à tisser
filament;filament
file folder;dossier de classement
filly;pouliche
film reel;bobine de film
filter;filtre
finger bowl;rince-doigt
finger plate;plaque de propreté
finish coat;couche de finition
fipple flute;flûte à bec
fire alarm;alarme incendie
fire control radar;radar de contrôle de tir
fire engine;camion de pompier
Fire Escape;escalier de secours
fire extinguisher;extincteur d'incendie
fire screen;écran pare-feu
fire tower;tour de guet (incendie)
fire-eater;cracheur de feu
firearm;arme à feu
fireboat;bateau pompier
firebox;foyer
firebrick;brique réfractaire
fireman;pompier
fireplace;cheminée
firewater;eau d'incendie
firing pin;percuteur
first lieutenant;premier lieutenant
first sergeant;sergent chef
first-aid station;poste de secours
fish;poisson
fisherman's lure;appât de pêche
fishhook;hameçon
fishing;pêche
fishmonger;poissonnier
fishnet;résille
five iron golf stick;bâton de golf cinq fer
fixative;fixateur
fixer-upper house;maison à rénover
flag;drapeau
Flag Burning;drapeau brûlé
flagon vessel;cruche
flagpole;mât
flange (connector);connecteur à bride
flaps of aeroplane;volets d'avion
flask;flasque
flat panel display;écran plat
flat-coated retriever dog;chien retriever à poil plat
flatbed press;presse à plat
flatfish;poisson plat
flathead;chabot commun (poisson)
flathead catfish;poisson-chat à tête plate
flats;appartements
flatworm;ver plat
flea market;marché aux puces
Fleet Street building;immeuble Fleet Street
flesh fly;mouche de la viande
fleur-de-lis (badge);fleur de lys
flexible sigmoidoscope;sigmoïdoscope flexible
flight indicator;indicateur de vol
flintlock gun;pistolet à silex
floatplane;hydravion
flooded gum tree;gommier rose
floodlight;projecteur
floor;sol
floor cover;revêtement de sol
floor joist;solive de plancher
flooring;sol
flower;fleur
flowering plant;plante à fleurs
fluoroscope;fluoroscope
flute;flûte
flutist;flûtiste
fly;voler
fly-fishing;pêche à la mouche
flying boat;bateau volant
flying bomb;bombe volante
flying buttress;arc-boutant
flying carpet;tapis volant
flying gecko;gecko volant
flying gurnard;grondin volant
flying reptile;reptile volant
flyswatter;tapette à mouche
fodder;fourrage
foil;foil (voile)
fold;groupe
folder;dossier
folding chair;chaise pliante
folding door;porte pliante
folk dancer;danseuse folklorique
food;aliments
food court;aire de restauration
food ingredient;ingrédient alimentaire
food product;produit alimentaire
food seasoning;assaisonnement alimentaire
foot pedal;pédale
foot rule;mètre de charpentier
football;football
football (soccer) player;joueur de football
footbridge;passerelle
footstool;tabouret
footwear;chaussure
foramen magnum;foramen magnum
force pump;pompe à piston
forceps;forceps
fore edge of book;tranche (livre)
fore-topsail of ship;petit hunier
forecourt;parvis
forefather;ancêtre
foremast of ship;mat de misaine
foremother;aïeule
foresail of ship;voile de misaine
foreshore (land near water);estran
Forest;forêt
Forest Path;chemin forestier
forest red gum tree;gommier rouge
Forest Road;route forestière
foretop of ship;hune de misaine
forklift;chariot élévateur
Formal Garden;jardin paysager
fortification;fortification
fortress;forteresse
Foucault pendulum;pendule de Foucault
foundry;fonderie
fountain;fontaine
fountain pen;stylo plume
four-poster bed;lit à baldaquin
four-wheeler;quad
fox hunting;chasse au renard
foxhole;trou individuel (abri)
fragmentation bomb;bombe à fragmentation
frame;cadre
framework;cadre
Francis turbine;turbine Francis
free house (restaurant/bar);pub (bar)
free press;presse libre
free-reed instrument;instrument à anches libres
free-tailed bat;molosse (chauve-souris)
freight car;wagon à marchandises
freight liner train;train de marchandises
freight train;train de marchandise
French bulldog;bulldog français
French horn;cor français
French window;porte-fenêtre
friary (monastery);monastère
friction clutch;embrayage à friction
friend;ami
Friesian cattle;holstein (bovin)
frieze (of building);frise (bâtiment)
frigate ship;frégate
frock;robe (froc)
frock coat;redingote
frog;grenouille
front porch;porche d'entrée
Frost;gel
Frozen Waterbody;plan d'eau gelé
fruit;fruit
fruit fly;mouche du vinaigre
fuel filter;filtre à carburant
full metal jacket;Full Metal Jacket
full-dress uniform;uniforme de cérémonie
funeral home;maison funéraire
fungus;champignon
fur;fourrure
fur coat;manteau de fourrure
fur hat;chapeau de fourrure
furnace;fourneau
furnishing;ameublement
furniture;meubles
furrow;sillon
fusee drive;fusée (horlogerie)
futon;futon
gable wall (building);mur pignon (bâtiment)
gadfly;taon
gaff topsail;voile à corne
gag;baillon
gallery (room);galerie (salle)
gallinaceous bird;oiseau gallinacé
gallows;potence
gallows tree;arbre à potence
gambrel roof;toit en mansarde
game;jeu
game equipment;équipement de jeu
game fowl;gibier à plumes
gamebag;gibecière
ganglion cell;cellule ganglionnaire
gangway (bridge);passerelle (pont)
gantlet;gant
gantry (steel bridge);portique (pont en acier)
garage;garage
garbage heap;tas d'ordures
garbage truck;camion à ordures
garboard plank;virure de galbord
garden cart;chariot de jardin
garden tool;outil de jardin
gardener;jardinier
gargoyle (water spout);gargouille
garibaldi dress;robe Garibaldi
garment;vêtement
garment bag;sac à vêtements
garrison cap;casquette de garnison
gas bracket;support de gaz
gas engine;moteur à gaz
gas fixture;appareil à gaz
gas heater;chauffage à gaz
gas holder;réservoir de gaz
gas oven;four à gaz
gas pump;pompe à essence
gas range;fourneau à gaz
gas ring;brûleur à gaz
gas tank;réservoir d'essence
gas thermometer;thermomètre à gaz
gas-discharge tube;tube à décharge de gaz
gasket;joint
gasoline engine;moteur à essence
gastroscope;gastroscope
gastrula (organism);gastrula (organisme)
gate;porte
gatehouse;corps de garde
gatepost (gate);portail d'entrée
gathered skirt;jupe froncée
Gatling gun;mitrailleuse Gatling
gauntlet (glove);gantelet
gavel (wooden hammer);marteau de président
gazebo (roofed structure);gazébo (pavillon)
gazette;gazette
gear mechanism;mécanisme d'engrenage
gear wheel;roue dentée
gearset;engrenages
geartrain;train d'engrenage
gee-gee horse;cheval gee-gee
gelding horse;cheval hongre
gendarme (police);gendarme
general;général
general store;magasin général
generator;générateur
genet;genêt
geodesic dome;dôme géodésique
German shepherd dog;berger allemand (chien)
geyser;geyser
gharry (horse drawn carriage);gharry (calèche)
ghat (bank of river/lake);ghat (bord de rivière)
giant schnauzer dog;schnauzer géant (chien)
giant water bug;punaise d'eau géante
giardia (organism);giardia (protozoaire)
gidgee tree;Acacia cambagei (arbre)
gig (horse drawn cart);charrette
Gila monster lizard;monstre de Gila (lézard)
gin;gin
ginseng;ginseng
giraffe;girafe
girandole (candleholder);girandole (bougeoir)
girder (beam);poutre
girl;fille
Girondist (french revolution);Girondin (révolution française)
glacier;glacier
gladiator;gladiateur
Gladstone bag;sac de voyage Gladstone
glassblower;souffleur de verre
glasses case;étui à lunettes
glen (narrow valley);glen (vallée)
glider;planeur
glint;reflet
glove;gant
glyptic art;glyptique
gnat;moucheron
gnomon (sundial);gnomon (cadran solaire)
goal;but (football)
goalmouth;surface de réparation (football)
goalpost;poteau de but
goat;chèvre
goat antelope;capriné
chamois goat;chamois
goat herder;éleveur de chèvre
godown;entrepôt
Golden Gate Bridge;pont Golden Gate
golf;golf
golf club;club de golf
golf glove;gant de golf
golf-club head;tête de club de golf
golfcart;voiturette de golf
gondola;gondole
gondolier (boat man);gondolier
gong;gong
goose;oie
gorge;gorge
gorget armor;armure de gorget
Gothic arch;arc gothique
government building;bâtiment gouvernemental
government minister;ministre
gown;robe
grade cattle;bovin croisé
grade separation;échangeur urbain
graduated cylinder;cylindre gradué
Graduation;remise de diplôme
graffiti;graffiti
grain;grain
grand piano;piano à queue
grandchild;petit enfant
grandfather;grand-père
grandmother;grand-mère
grandmother (nan);grand-mère
grandparent;grand-parent
grapnel anchor;ancre grappin
grappa;grappa
grappling hook;grappin
grass;herbe
grass skirt;pagne herbe
grasshopper;sauterelle
grating;grille
gravel;gravier
gravestone;pierre tombale
Gray Sky;ciel gris
Great Dane dog;dogue allemand (chien)
great hall;salle d'honneur
greatcoat;houppelande
greater kudu antelope;grande antilope koudou
greengrocery;marchand de légumes
greenhouse;serre
gregarine (parasite);grégarine (parasite)
grenade;grenade
grenadier;grenadier
grey clothing;vêtements gris
grey horse;cheval gris
grey sub sahara Africa dweller;habitant Afrique subsaharienne
grey whale;baleine grise
greyhound dog;chien lévrier
greyhound racing;courses de lévriers
grinder;broyeur
grindstone;meule
grocery store;épicerie
groenendael dog;berger belge Groenendael (chien)
groined vault;chambre forte
grotto (small cave);grotte
ground beetle;coléoptère
groundhog;marmotte
groundsheet;tapis de sol
group of children;groupe d'enfants
group of items;groupe d'éléments
group of people;groupe de personnes
gryphon (winged monster);griffon
guanaco;guanaco (camélidé)
guard;garde
gueridon (small table);guéridon
Guernsey cattle;bétail de Guernesey
guided missile;missile guidé
guided missile cruiser;croiseur lance-missile
guildhall (ornate building);hôtel de ville
guillotine;guillotine
guitar;guitare
guitar pick;médiator
guitarfish;poisson guitare
guitarist;guitariste
gun;pistolet
gun carriage;affût de canon
gun case;étui à fusil
gun emplacement;pièce d'artillerie
gun enclosure;tourelle de canon
gunlock;percuteur
gunnery;artillerie
gunsight;visée de tir
gusher;geyser
gusset plate;plaque de gousset
gym goer;gymnaste
Gymnasium (Indoor);gymnase (intérieur)
gymnastic apparatus;appareil de gymnastique
gymnastics;gymnastique
gypsy moth;Bombyx (papillon)
gyroplane;gyroplane
hack horse;cheval de trait
hail;grêle
hairdresser;coiffeur
hairpiece (hair);postiche (cheveux)
hairpin;épingle à cheveux
halberd weapon;hallebarde
half binding book;demi-reliure (livre)
half track motor vehicle;véhicule à moteur sur chenilles
half-mast flag;drapeau en berne
halfback (in a ball game);demi (dans un jeu de ballon)
halibut;flétan
hall;salle
hall of residence;hall de résidence
halloween witch;sorcière d'halloween
hammer;marteau
hamper;panier en osier
hand;main
hand cream;crème pour les mains
hand glass;verre à main
hand pump;pompe manuelle
hand tool;outil manuel
hand truck;diable (outil)
handbag;sac à main
handbasket;panier à main
handcar;draisine
handcart;charrette à bras
handlebar;guidon
handloom;métier à tisser
handsaw;scie à main
handstamp;poinçon
handwear;gant
handwheel;volant
hang glider;deltaplane
hangar;hangar
hanger;cintre
hansom cab (horse drawn carraige);cab (hippomobile)
harbor;port
harbor porpoise;marsouin commun
hard candy;bonbon
hard hat;casque
hardware store;quincaillerie
